Mon Aug 3 13:55:59 2009:24805 main.cpp:43 int main(int, char**):Starting in deamon mode

Mon Aug 3 13:55:59 2009:24807 src/transactionmgr.cpp:55 bool Stone::TransactionMgr::initialize(const QString&):Could not create (non-existent) spool dir at: /var/spool/rum
Mon Aug 3 13:58:48 2009:24855 main.cpp:40 int main(int, char**):Starting in debug mode

Mon Aug 3 13:58:48 2009:24855 src/transactionmgr.cpp:77 bool Stone::TransactionMgr::initialize(const QString&):Transaction Manager Started: last transaction: 0  next transaction 1
Mon Aug 3 13:58:48 2009:24855 main.cpp:59 int main(int, char**):Server Running on 0.0.0.0
Mon Aug 3 13:59:29 2009:24868 main.cpp:40 int main(int, char**):Starting in debug mode

Mon Aug 3 13:59:29 2009:24868 src/transactionmgr.cpp:77 bool Stone::TransactionMgr::initialize(const QString&):Transaction Manager Started: last transaction: 0  next transaction 1
Mon Aug 3 13:59:29 2009:24868 main.cpp:59 int main(int, char**):Server Running on 0.0.0.0
Mon Aug 3 14:00:44 2009:24868 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Mon Aug 3 14:00:47 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:00:47 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:08:08 2009:24868 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Mon Aug 3 14:08:11 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:08:11 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:17:46 2009:24868 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Mon Aug 3 14:17:49 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:17:49 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:20:19 2009:24868 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Mon Aug 3 14:20:22 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:20:22 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:20:37 2009:24868 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Mon Aug 3 14:20:41 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:20:41 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Mon Aug 3 14:31:56 2009:24868 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 59
Fri Aug 7 17:04:37 2009:16080 main.cpp:43 int main(int, char**):Starting in deamon mode

Fri Aug 7 17:04:37 2009:16082 src/transactionmgr.cpp:77 bool Stone::TransactionMgr::initialize(const QString&):Transaction Manager Started: last transaction: 0  next transaction 1
Fri Aug 7 17:04:37 2009:16082 main.cpp:59 int main(int, char**):Server Running on 0.0.0.0
Fri Aug 7 17:04:59 2009:16092 main.cpp:40 int main(int, char**):Starting in debug mode

Fri Aug 7 17:04:59 2009:16092 src/transactionmgr.cpp:77 bool Stone::TransactionMgr::initialize(const QString&):Transaction Manager Started: last transaction: 0  next transaction 1
Fri Aug 7 17:04:59 2009:16092 main.cpp:59 int main(int, char**):Server Running on 0.0.0.0
Fri Aug 7 17:05:29 2009:16092 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Fri Aug 7 17:05:32 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:05:32 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:05:48 2009:16092 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Fri Aug 7 17:05:51 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:05:51 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:05:56 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 67
Fri Aug 7 17:08:10 2009:16092 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Fri Aug 7 17:08:13 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:08:13 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:08:20 2009:16092 server.cpp:60 virtual void Server::incomingConnection(int):New connection created
Fri Aug 7 17:08:24 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:08:24 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 4
Fri Aug 7 17:08:37 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 71
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 173
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
Fri Aug 7 17:08:48 2009:16092 src/packetsocket.cpp:95 void PacketSocket::slotReadyRead():Full Packet Recieved, Size: 34
