Mon May 18 16:32:10 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: AbDownloadStat className: AbDownloadStat
Mon May 18 16:32:10 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Annotation className: Annotation
Mon May 18 16:32:10 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: AssetProperty className: AssetProperty
Mon May 18 16:32:10 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: AssetTemplate className: AssetTemplate
Mon May 18 16:32:10 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Calendar className: Calendar
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: CalendarCategory className: CalendarCategory
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: CheckListItem className: CheckListItem
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: CheckListStatus className: CheckListStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Client className: Client
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Config className: Config
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: DeliveryElement className: DeliveryElement
